进出口标示 importExportFlag
业务类型 type
申报地海关 declearLocation
出口口岸 custom
收发货人编码 companySocialCode
收发货人名称 companyName
企业性质 enterprise
生产销售单位编码 company2SocialCode
生产销售单位名称 company2Name
申报单位编码 reportCompanySocialCode
申报单位名称 reportCompanyName
运输方式 transportType
运输工具名称 transportTool
航次号 transportNum
提运单号 blno
监管方式 jianguan
征免性质 tax
征税比例 payment
纳税单位 nsdw
运抵国（地区） country
指运港 harbour
境内货源地 churchyard
成交方式 dealMode
运费类型 carriageType
运费金额 carriagePrice
运费币制 carriageCurrency
保费类型 premiumType
保费金额 premiumPrice
保费币制 premiumCurrency
件数 boxNum
包装种类 boxType
毛重(KG) grossWeight
净重(KG) netWeight
贸易国(地区) tradingCountry
关联报关单号 relativeEntryNo
关联备案号 relativeEnrolNo
保税/监管场所 bsjgPlace
货场代码 yardCode
报关单号 PrerecordSn
报关单申报时间 PrerecordSnTime
